,m,delta_p,p_hat,p_min,pi,k,l,search_bound,n,i,cls,explicit_bound,implicit_bound
46,2.0,0.48,0.0,0.9,0.19459459,10000.0,3.0,163.0,26.0,12.0,0.6,124.92322753332697,125
47,2.0,0.48,0.0,0.9,0.2918919,10000.0,3.0,2600.0,376.0,12.0,0.9,1998.7727814991572,1999
48,2.0,0.52,0.0,0.9,0.0,10000.0,3.0,22.0,4.0,13.0,0.0,17.030954829837647,18
49,2.0,0.52,0.0,0.9,0.10263158,10000.0,3.0,45.0,8.0,13.0,0.3,34.75705097869455,35
50,2.0,0.52,0.0,0.9,0.20526315,10000.0,3.0,138.0,23.0,13.0,0.6,106.44345540454779,107
51,2.0,0.52,0.0,0.9,0.30789474,10000.0,3.0,2216.0,322.0,13.0,0.9,1703.0957974014373,1704
52,2.0,0.56,0.0,0.9,0.0,10000.0,3.0,19.0,3.0,14.0,0.0,14.68485390940083,15
53,2.0,0.56,0.0,0.9,0.10769231,10000.0,3.0,39.0,6.0,14.0,0.3,29.969090161474774,30
54,2.0,0.56,0.0,0.9,0.21538462,10000.0,3.0,119.0,19.0,14.0,0.6,91.78034283391999,92
55,2.0,0.56,0.0,0.9,0.32307693,10000.0,3.0,1911.0,278.0,14.0,0.9,1468.4859573560382,1469
56,2.0,0.6,0.0,0.9,0.0,10000.0,3.0,17.0,2.0,15.0,0.0,12.792139405522502,13
57,2.0,0.6,0.0,0.9,0.1125,10000.0,3.0,34.0,6.0,15.0,0.3,26.106406950045926,27
58,2.0,0.6,0.0,0.9,0.225,10000.0,3.0,104.0,17.0,15.0,0.6,79.95087128451566,80
59,2.0,0.6,0.0,0.9,0.3375,10000.0,3.0,1664.0,243.0,15.0,0.9,1279.2139405522528,1280
60,2.0,0.64,0.0,0.9,0.0,10000.0,3.0,15.0,2.0,16.0,0.0,11.243091274385012,12
61,2.0,0.64,0.0,0.9,0.11707317,10000.0,3.0,30.0,5.0,16.0,0.3,22.945084110518703,23
62,2.0,0.64,0.0,0.9,0.23414634,10000.0,3.0,91.0,15.0,16.0,0.6,70.26931914735658,71
63,2.0,0.64,0.0,0.9,0.3512195,10000.0,3.0,1463.0,216.0,16.0,0.9,1124.308424745626,1125
64,2.0,0.68,0.0,0.9,0.0,10000.0,3.0,13.0,2.0,17.0,0.0,9.9592780838843,10
65,2.0,0.68,0.0,0.9,0.12142857,10000.0,3.0,26.0,4.0,17.0,0.3,20.325057109091034,21
66,2.0,0.68,0.0,0.9,0.24285714,10000.0,3.0,81.0,13.0,17.0,0.6,62.24548582737737,63
67,2.0,0.68,0.0,0.9,0.3642857,10000.0,3.0,1296.0,191.0,17.0,0.9,995.9271053809344,996
68,2.0,0.72,0.0,0.9,0.0,10000.0,3.0,12.0,1.0,18.0,0.0,8.88343014272396,9
69,2.0,0.72,0.0,0.9,0.1255814,10000.0,3.0,24.0,4.0,18.0,0.3,18.12944984640331,19
70,2.0,0.72,0.0,0.9,0.2511628,10000.0,3.0,72.0,12.0,18.0,0.6,55.521444561074,56
71,2.0,0.72,0.0,0.9,0.37674418,10000.0,3.0,1156.0,173.0,18.0,0.9,888.3427576400244,889
72,2.0,0.76,0.0,0.9,0.0,10000.0,3.0,10.0,1.0,19.0,0.0,7.97294007269408,8
73,2.0,0.76,0.0,0.9,0.12954545,10000.0,3.0,21.0,3.0,19.0,0.3,16.271305781441658,17
74,2.0,0.76,0.0,0.9,0.2590909,10000.0,3.0,65.0,11.0,19.0,0.6,49.83087020898313,50
75,2.0,0.76,0.0,0.9,0.38863635,10000.0,3.0,1037.0,154.0,19.0,0.9,797.2935037155379,798
76,2.0,0.8,0.0,0.9,0.0,10000.0,3.0,9.0,1.0,20.0,0.0,7.195578415606406,8
77,2.0,0.8,0.0,0.9,0.13333334,10000.0,3.0,19.0,3.0,20.0,0.3,14.68485453875173,15
78,2.0,0.8,0.0,0.9,0.26666668,10000.0,3.0,59.0,10.0,20.0,0.6,44.97237184339553,45
79,2.0,0.8,0.0,0.9,0.4,10000.0,3.0,936.0,140.0,20.0,0.9,719.5578415606415,720
80,2.0,0.84,0.0,0.9,0.0,10000.0,3.0,8.0,1.0,21.0,0.0,6.5266017375114815,7
81,2.0,0.84,0.0,0.9,0.13695653,10000.0,3.0,17.0,3.0,21.0,0.3,13.319596071308657,14
82,2.0,0.84,0.0,0.9,0.27391306,10000.0,3.0,53.0,9.0,21.0,0.6,40.79126824072351,41
83,2.0,0.84,0.0,0.9,0.41086957,10000.0,3.0,849.0,128.0,21.0,0.9,652.6603104990161,653
84,2.0,0.88,0.0,0.9,0.0,10000.0,3.0,8.0,1.0,22.0,0.0,5.946759021162321,6
85,2.0,0.88,0.0,0.9,0.14042553,10000.0,3.0,16.0,2.0,22.0,0.3,12.13624275847908,13
86,2.0,0.88,0.0,0.9,0.28085107,10000.0,3.0,48.0,8.0,22.0,0.6,37.16724633192387,38
87,2.0,0.88,0.0,0.9,0.4212766,10000.0,3.0,774.0,117.0,22.0,0.9,594.6760102391385,595
88,2.0,0.92,0.0,0.9,0.0,10000.0,3.0,7.0,1.0,23.0,0.0,5.4408910514982285,6
89,2.0,0.92,0.0,0.9,0.14375,10000.0,3.0,14.0,2.0,23.0,0.3,11.103859288771897,12
90,2.0,0.92,0.0,0.9,0.2875,10000.0,3.0,44.0,7.0,23.0,0.6,34.00556907186391,35
91,2.0,0.92,0.0,0.9,0.43125,10000.0,3.0,708.0,106.0,23.0,0.9,544.0891051498232,545
92,2.0,0.96,0.0,0.9,0.0,10000.0,3.0,7.0,1.0,24.0,0.0,4.996929455282227,5
93,2.0,0.96,0.0,0.9,0.14693877,10000.0,3.0,13.0,2.0,24.0,0.3,10.197814887074781,11
94,2.0,0.96,0.0,0.9,0.29387754,10000.0,3.0,41.0,7.0,24.0,0.6,31.23080558204819,32
95,2.0,0.96,0.0,0.9,0.4408163,10000.0,3.0,650.0,99.0,24.0,0.9,499.6924041946393,500
96,2.0,1.0,0.0,0.9,0.0,10000.0,3.0,6.0,1.0,25.0,0.0,4.605170185988101,5
97,2.0,1.0,0.0,0.9,0.15,10000.0,3.0,12.0,2.0,25.0,0.3,9.398306502016535,10
98,2.0,1.0,0.0,0.9,0.3,10000.0,3.0,37.0,6.0,25.0,0.6,28.782313662425633,29
99,2.0,1.0,0.0,0.9,0.45,10000.0,3.0,599.0,92.0,25.0,0.9,460.5170185988097,461
